algorithm,run_num,bitstring_size,iteration,score,bitstring
RHC,0,20,0,11.0,10001101100100110010
RHC,0,20,1,11.0,10001101100100110010
RHC,0,20,2,11.0,10001101100100110010
RHC,0,20,3,11.0,10001101100100110010
RHC,0,20,4,11.0,10001101100100110010
RHC,0,20,5,11.0,10001101100100110010
RHC,0,20,6,11.0,10001101100100110010
RHC,0,20,7,11.0,10001101100100110010
RHC,0,20,8,11.0,10001101100100110010
RHC,0,20,9,11.0,10001101100100110010
RHC,0,20,10,11.0,10001101100100110010
RHC,0,20,11,11.0,10001101100100110010
RHC,0,20,12,11.0,10001101100100110010
RHC,0,20,13,11.0,10001101100100110010
RHC,0,20,14,11.0,10001101100100110010
RHC,0,20,15,11.0,10001101100100110010
RHC,0,20,16,11.0,10001101100100110010
RHC,0,20,17,11.0,10001101100100110010
RHC,0,20,18,11.0,10001101100100110010
RHC,0,20,19,11.0,10001101100100110010
RHC,0,20,20,13.0,10101101100100110010
RHC,0,20,21,13.0,10101101100100110010
RHC,0,20,22,13.0,10101101100100110010
RHC,0,20,23,13.0,10101101100100110010
RHC,0,20,24,13.0,10101101100100110010
RHC,0,20,25,13.0,10101101100100110010
RHC,0,20,26,13.0,10101101100100110010
RHC,0,20,27,13.0,10101101100100110010
RHC,0,20,28,13.0,10101101100100110010
RHC,0,20,29,13.0,10101101100100110010
RHC,0,20,30,13.0,10101101100100110010
RHC,0,20,31,13.0,10101101100100110010
RHC,0,20,32,13.0,10101101100100110010
RHC,0,20,33,13.0,10101101100100110010
RHC,0,20,34,13.0,10101101100100110010
RHC,0,20,35,13.0,10101101100100110010
RHC,0,20,36,13.0,10101101100100110010
RHC,0,20,37,13.0,10101101100100110010
RHC,0,20,38,13.0,10101101100100110010
RHC,0,20,39,13.0,10101101100100110010
RHC,0,20,40,13.0,10101101100100110010
RHC,0,20,41,13.0,10101101100100110010
RHC,0,20,42,13.0,10101101100100110010
RHC,0,20,43,13.0,10101101100100110010
RHC,0,20,44,13.0,10101101100100110010
RHC,0,20,45,13.0,10101101100100110010
RHC,0,20,46,13.0,10101101100100110010
RHC,0,20,47,13.0,10101101100100110010
RHC,0,20,48,13.0,10101101100100110010
RHC,0,20,49,13.0,10101101100100110010
RHC,0,20,50,13.0,10101101100100110010
RHC,0,20,51,13.0,10101101100100110010
RHC,0,20,52,13.0,10101101100100110010
RHC,0,20,53,13.0,10101101100100110010
RHC,0,20,54,13.0,10101101100100110010
RHC,0,20,55,13.0,10101101100100110010
RHC,0,20,56,13.0,10101101100100110010
RHC,0,20,57,13.0,10101101100100110010
RHC,0,20,58,13.0,10101101100100110010
RHC,0,20,59,13.0,10101101100100110010
RHC,0,20,60,13.0,10101101100100110010
RHC,0,20,61,13.0,10101101100100110010
RHC,0,20,62,13.0,10101101100100110010
RHC,0,20,63,13.0,10101101100100110010
RHC,0,20,64,13.0,10101101100100110010
RHC,0,20,65,13.0,10101101100100110010
RHC,0,20,66,13.0,10101101100100110010
RHC,0,20,67,13.0,10101101100100110010
RHC,0,20,68,13.0,10101101100100110010
RHC,0,20,69,13.0,10101101100100110010
RHC,0,20,70,13.0,10101101100100110010
RHC,0,20,71,13.0,10101101100100110010
RHC,0,20,72,13.0,10101101100100110010
RHC,0,20,73,13.0,10101101100100110010
RHC,0,20,74,13.0,10101101100100110010
RHC,0,20,75,13.0,10101101100100110010
RHC,0,20,76,13.0,10101101100100110010
RHC,0,20,77,13.0,10101101100100110010
RHC,0,20,78,13.0,10101101100100110010
RHC,0,20,79,13.0,10101101100100110010
RHC,0,20,80,13.0,10101101100100110010
RHC,0,20,81,13.0,10101101100100110010
RHC,0,20,82,13.0,10101101100100110010
RHC,0,20,83,13.0,10101101100100110010
RHC,0,20,84,13.0,10101101100100110010
RHC,0,20,85,13.0,10101101100100110010
RHC,0,20,86,13.0,10101101100100110010
RHC,0,20,87,13.0,10101101100100110010
RHC,0,20,88,13.0,10101101100100110010
RHC,0,20,89,13.0,10101101100100110010
RHC,0,20,90,13.0,10101101100100110010
RHC,0,20,91,13.0,10101101100100110010
RHC,0,20,92,13.0,10101101100100110010
RHC,0,20,93,13.0,10101101100100110010
RHC,0,20,94,13.0,10101101100100110010
RHC,0,20,95,13.0,10101101100100110010
RHC,0,20,96,13.0,10101101100100110010
RHC,0,20,97,13.0,10101101100100110010
RHC,0,20,98,13.0,10101101100100110010
RHC,0,20,99,13.0,10101101100100110010
RHC,0,20,100,13.0,10101101100100110010
RHC,0,20,101,13.0,10101101100100110010
RHC,0,20,102,13.0,10101101100100110010
RHC,0,20,103,13.0,10101101100100110010
RHC,0,20,104,13.0,10101101100100110010
RHC,0,20,105,13.0,10101101100100110010
RHC,0,20,106,13.0,10101101100100110010
RHC,0,20,107,13.0,10101101100100110010
RHC,0,20,108,13.0,10101101100100110010
RHC,0,20,109,13.0,10101101100100110010
RHC,0,20,110,13.0,10101101100100110010
RHC,0,20,111,13.0,10101101100100110010
RHC,0,20,112,13.0,10101101100100110010
RHC,0,20,113,13.0,10101101100100110010
RHC,0,20,114,13.0,10101101100100110010
RHC,0,20,115,13.0,10101101100100110010
RHC,0,20,116,13.0,10101101100100110010
RHC,0,20,117,13.0,10101101100100110010
RHC,0,20,118,13.0,10101101100100110010
RHC,0,20,119,13.0,10101101100100110010
RHC,0,20,120,13.0,10101101100100110010
RHC,0,20,121,13.0,10101101100100110010
RHC,0,20,122,13.0,10101101100100110010
RHC,0,20,123,13.0,10101101100100110010
RHC,0,20,124,13.0,10101101100100110010
RHC,0,20,125,13.0,10101101100100110010
RHC,0,20,126,13.0,10101101100100110010
RHC,0,20,127,13.0,10101101100100110010
RHC,0,20,128,13.0,10101101100100110010
RHC,0,20,129,13.0,10101101100100110010
RHC,0,20,130,13.0,10101101100100110010
RHC,0,20,131,13.0,10101101100100110010
RHC,0,20,132,13.0,10101101100100110010
RHC,0,20,133,13.0,10101101100100110010
RHC,0,20,134,13.0,10101101100100110010
RHC,0,20,135,13.0,10101101100100110010
RHC,0,20,136,13.0,10101101100100110010
RHC,0,20,137,13.0,10101101100100110010
RHC,0,20,138,13.0,10101101100100110010
RHC,0,20,139,13.0,10101101100100110010
RHC,0,20,140,13.0,10101101100100110010
RHC,0,20,141,13.0,10101101100100110010
RHC,0,20,142,13.0,10101101100100110010
RHC,0,20,143,13.0,10101101100100110010
RHC,0,20,144,13.0,10101101100100110010
RHC,0,20,145,13.0,10101101100100110010
RHC,0,20,146,13.0,10101101100100110010
RHC,0,20,147,13.0,10101101100100110010
RHC,0,20,148,13.0,10101101100100110010
RHC,0,20,149,13.0,10101101100100110010
RHC,0,20,150,13.0,10101101100100110010
RHC,0,20,151,13.0,10101101100100110010
RHC,0,20,152,13.0,10101101100100110010
RHC,0,20,153,13.0,10101101100100110010
RHC,0,20,154,13.0,10101101100100110010
RHC,0,20,155,13.0,10101101100100110010
RHC,0,20,156,13.0,10101101100100110010
RHC,0,20,157,13.0,10101101100100110010
RHC,0,20,158,13.0,10101101100100110010
RHC,0,20,159,13.0,10101101100100110010
RHC,0,20,160,13.0,10101101100100110010
RHC,0,20,161,13.0,10101101100100110010
RHC,0,20,162,13.0,10101101100100110010
RHC,0,20,163,13.0,10101101100100110010
RHC,0,20,164,13.0,10101101100100110010
RHC,0,20,165,13.0,10101101100100110010
RHC,0,20,166,13.0,10101101100100110010
RHC,0,20,167,13.0,10101101100100110010
RHC,0,20,168,13.0,10101101100100110010
RHC,0,20,169,13.0,10101101100100110010
RHC,0,20,170,13.0,10101101100100110010
RHC,0,20,171,13.0,10101101100100110010
RHC,0,20,172,13.0,10101101100100110010
RHC,0,20,173,13.0,10101101100100110010
RHC,0,20,174,13.0,10101101100100110010
RHC,0,20,175,13.0,10101101100100110010
RHC,0,20,176,13.0,10101101100100110010
RHC,0,20,177,13.0,10101101100100110010
RHC,0,20,178,13.0,10101101100100110010
RHC,0,20,179,13.0,10101101100100110010
RHC,0,20,180,13.0,10101101100100110010
RHC,0,20,181,13.0,10101101100100110010
RHC,0,20,182,13.0,10101101100100110010
RHC,0,20,183,13.0,10101101100100110010
RHC,0,20,184,13.0,10101101100100110010
RHC,0,20,185,13.0,10101101100100110010
RHC,0,20,186,13.0,10101101100100110010
RHC,0,20,187,13.0,10101101100100110010
RHC,0,20,188,13.0,10101101100100110010
RHC,0,20,189,13.0,10101101100100110010
RHC,0,20,190,13.0,10101101100100110010
RHC,0,20,191,13.0,10101101100100110010
RHC,0,20,192,13.0,10101101100100110010
RHC,0,20,193,13.0,10101101100100110010
RHC,0,20,194,13.0,10101101100100110010
RHC,0,20,195,13.0,10101101100100110010
RHC,0,20,196,13.0,10101101100100110010
RHC,0,20,197,13.0,10101101100100110010
RHC,0,20,198,13.0,10101101100100110010
RHC,0,20,199,13.0,10101101100100110010
RHC,0,20,200,13.0,10101101100100110010
RHC,0,20,201,13.0,10101101100100110010
RHC,0,20,202,13.0,10101101100100110010
RHC,0,20,203,13.0,10101101100100110010
RHC,0,20,204,13.0,10101101100100110010
RHC,0,20,205,13.0,10101101100100110010
RHC,0,20,206,13.0,10101101100100110010
RHC,0,20,207,13.0,10101101100100110010
RHC,0,20,208,13.0,10101101100100110010
RHC,0,20,209,13.0,10101101100100110010
RHC,0,20,210,13.0,10101101100100110010
RHC,0,20,211,13.0,10101101100100110010
RHC,0,20,212,13.0,10101101100100110010
RHC,0,20,213,13.0,10101101100100110010
RHC,0,20,214,13.0,10101101100100110010
RHC,0,20,215,13.0,10101101100100110010
RHC,0,20,216,13.0,10101101100100110010
RHC,0,20,217,13.0,10101101100100110010
RHC,0,20,218,13.0,10101101100100110010
RHC,0,20,219,13.0,10101101100100110010
RHC,0,20,220,13.0,10101101100100110010
RHC,0,20,221,13.0,10101101100100110010
RHC,0,20,222,13.0,10101101100100110010
RHC,0,20,223,13.0,10101101100100110010
RHC,0,20,224,13.0,10101101100100110010
RHC,0,20,225,13.0,10101101100100110010
RHC,0,20,226,13.0,10101101100100110010
RHC,0,20,227,13.0,10101101100100110010
RHC,0,20,228,13.0,10101101100100110010
RHC,0,20,229,13.0,10101101100100110010
RHC,0,20,230,13.0,10101101100100110010
RHC,0,20,231,13.0,10101101100100110010
RHC,0,20,232,13.0,10101101100100110010
RHC,0,20,233,13.0,10101101100100110010
RHC,0,20,234,13.0,10101101100100110010
RHC,0,20,235,13.0,10101101100100110010
RHC,0,20,236,13.0,10101101100100110010
RHC,0,20,237,13.0,10101101100100110010
RHC,0,20,238,13.0,10101101100100110010
RHC,0,20,239,13.0,10101101100100110010
RHC,0,20,240,13.0,10101101100100110010
RHC,0,20,241,13.0,10101101100100110010
RHC,0,20,242,13.0,10101101100100110010
RHC,0,20,243,13.0,10101101100100110010
RHC,0,20,244,13.0,10101101100100110010
RHC,0,20,245,13.0,10101101100100110010
RHC,0,20,246,13.0,10101101100100110010
RHC,0,20,247,13.0,10101101100100110010
RHC,0,20,248,13.0,10101101100100110010
RHC,0,20,249,13.0,10101101100100110010
RHC,0,20,250,13.0,10101101100100110010
RHC,0,20,251,13.0,10101101100100110010
RHC,0,20,252,13.0,10101101100100110010
RHC,0,20,253,13.0,10101101100100110010
RHC,0,20,254,13.0,10101101100100110010
RHC,0,20,255,13.0,10101101100100110010
RHC,0,20,256,13.0,10101101100100110010
RHC,0,20,257,13.0,10101101100100110010
RHC,0,20,258,13.0,10101101100100110010
RHC,0,20,259,13.0,10101101100100110010
RHC,0,20,260,13.0,10101101100100110010
RHC,0,20,261,13.0,10101101100100110010
RHC,0,20,262,13.0,10101101100100110010
RHC,0,20,263,13.0,10101101100100110010
RHC,0,20,264,13.0,10101101100100110010
RHC,0,20,265,13.0,10101101100100110010
RHC,0,20,266,13.0,10101101100100110010
RHC,0,20,267,13.0,10101101100100110010
RHC,0,20,268,13.0,10101101100100110010
RHC,0,20,269,13.0,10101101100100110010
RHC,0,20,270,13.0,10101101100100110010
RHC,0,20,271,13.0,10101101100100110010
RHC,0,20,272,13.0,10101101100100110010
RHC,0,20,273,13.0,10101101100100110010
RHC,0,20,274,13.0,10101101100100110010
RHC,0,20,275,13.0,10101101100100110010
RHC,0,20,276,13.0,10101101100100110010
RHC,0,20,277,13.0,10101101100100110010
RHC,0,20,278,13.0,10101101100100110010
RHC,0,20,279,13.0,10101101100100110010
RHC,0,20,280,13.0,10101101100100110010
RHC,0,20,281,13.0,10101101100100110010
RHC,0,20,282,13.0,10101101100100110010
RHC,0,20,283,13.0,10101101100100110010
RHC,0,20,284,13.0,10101101100100110010
RHC,0,20,285,13.0,10101101100100110010
RHC,0,20,286,13.0,10101101100100110010
RHC,0,20,287,13.0,10101101100100110010
RHC,0,20,288,13.0,10101101100100110010
RHC,0,20,289,13.0,10101101100100110010
RHC,0,20,290,13.0,10101101100100110010
RHC,0,20,291,13.0,10101101100100110010
RHC,0,20,292,13.0,10101101100100110010
RHC,0,20,293,13.0,10101101100100110010
RHC,0,20,294,13.0,10101101100100110010
RHC,0,20,295,13.0,10101101100100110010
RHC,0,20,296,13.0,10101101100100110010
RHC,0,20,297,13.0,10101101100100110010
RHC,0,20,298,13.0,10101101100100110010
RHC,0,20,299,13.0,10101101100100110010
RHC,0,20,300,13.0,10101101100100110010
RHC,0,20,301,13.0,10101101100100110010
RHC,0,20,302,13.0,10101101100100110010
RHC,0,20,303,13.0,10101101100100110010
RHC,0,20,304,13.0,10101101100100110010
RHC,0,20,305,13.0,10101101100100110010
RHC,0,20,306,13.0,10101101100100110010
RHC,0,20,307,13.0,10101101100100110010
RHC,0,20,308,13.0,10101101100100110010
RHC,0,20,309,13.0,10101101100100110010
RHC,0,20,310,13.0,10101101100100110010
RHC,0,20,311,13.0,10101101100100110010
RHC,0,20,312,13.0,10101101100100110010
RHC,0,20,313,13.0,10101101100100110010
RHC,0,20,314,13.0,10101101100100110010
RHC,0,20,315,13.0,10101101100100110010
RHC,0,20,316,13.0,10101101100100110010
RHC,0,20,317,13.0,10101101100100110010
RHC,0,20,318,13.0,10101101100100110010
RHC,0,20,319,13.0,10101101100100110010
RHC,0,20,320,13.0,10101101100100110010
RHC,0,20,321,13.0,10101101100100110010
RHC,0,20,322,13.0,10101101100100110010
RHC,0,20,323,13.0,10101101100100110010
RHC,0,20,324,13.0,10101101100100110010
RHC,0,20,325,13.0,10101101100100110010
RHC,0,20,326,13.0,10101101100100110010
RHC,0,20,327,13.0,10101101100100110010
RHC,0,20,328,13.0,10101101100100110010
RHC,0,20,329,13.0,10101101100100110010
RHC,0,20,330,13.0,10101101100100110010
RHC,0,20,331,13.0,10101101100100110010
RHC,0,20,332,13.0,10101101100100110010
RHC,0,20,333,13.0,10101101100100110010
RHC,0,20,334,13.0,10101101100100110010
RHC,0,20,335,13.0,10101101100100110010
RHC,0,20,336,13.0,10101101100100110010
RHC,0,20,337,13.0,10101101100100110010
RHC,0,20,338,13.0,10101101100100110010
RHC,0,20,339,13.0,10101101100100110010
RHC,0,20,340,13.0,10101101100100110010
RHC,0,20,341,13.0,10101101100100110010
RHC,0,20,342,13.0,10101101100100110010
RHC,0,20,343,13.0,10101101100100110010
RHC,0,20,344,13.0,10101101100100110010
RHC,0,20,345,13.0,10101101100100110010
RHC,0,20,346,13.0,10101101100100110010
RHC,0,20,347,13.0,10101101100100110010
RHC,0,20,348,13.0,10101101100100110010
RHC,0,20,349,13.0,10101101100100110010
RHC,0,20,350,13.0,10101101100100110010
RHC,0,20,351,13.0,10101101100100110010
RHC,0,20,352,13.0,10101101100100110010
RHC,0,20,353,13.0,10101101100100110010
RHC,0,20,354,13.0,10101101100100110010
RHC,0,20,355,13.0,10101101100100110010
RHC,0,20,356,13.0,10101101100100110010
RHC,0,20,357,13.0,10101101100100110010
RHC,0,20,358,13.0,10101101100100110010
RHC,0,20,359,13.0,10101101100100110010
RHC,0,20,360,13.0,10101101100100110010
RHC,0,20,361,13.0,10101101100100110010
RHC,0,20,362,13.0,10101101100100110010
RHC,0,20,363,13.0,10101101100100110010
RHC,0,20,364,13.0,10101101100100110010
RHC,0,20,365,13.0,10101101100100110010
RHC,0,20,366,13.0,10101101100100110010
RHC,0,20,367,13.0,10101101100100110010
RHC,0,20,368,13.0,10101101100100110010
RHC,0,20,369,13.0,10101101100100110010
RHC,0,20,370,13.0,10101101100100110010
RHC,0,20,371,13.0,10101101100100110010
RHC,0,20,372,13.0,10101101100100110010
RHC,0,20,373,13.0,10101101100100110010
RHC,0,20,374,13.0,10101101100100110010
RHC,0,20,375,13.0,10101101100100110010
RHC,0,20,376,13.0,10101101100100110010
RHC,0,20,377,13.0,10101101100100110010
RHC,0,20,378,13.0,10101101100100110010
RHC,0,20,379,13.0,10101101100100110010
RHC,0,20,380,13.0,10101101100100110010
RHC,0,20,381,13.0,10101101100100110010
RHC,0,20,382,13.0,10101101100100110010
RHC,0,20,383,13.0,10101101100100110010
RHC,0,20,384,13.0,10101101100100110010
RHC,0,20,385,13.0,10101101100100110010
RHC,0,20,386,13.0,10101101100100110010
RHC,0,20,387,13.0,10101101100100110010
RHC,0,20,388,13.0,10101101100100110010
RHC,0,20,389,13.0,10101101100100110010
RHC,0,20,390,13.0,10101101100100110010
RHC,0,20,391,13.0,10101101100100110010
RHC,0,20,392,13.0,10101101100100110010
RHC,0,20,393,13.0,10101101100100110010
RHC,0,20,394,13.0,10101101100100110010
RHC,0,20,395,13.0,10101101100100110010
RHC,0,20,396,13.0,10101101100100110010
RHC,0,20,397,13.0,10101101100100110010
RHC,0,20,398,13.0,10101101100100110010
RHC,0,20,399,13.0,10101101100100110010
RHC,0,20,400,13.0,10101101100100110010
RHC,0,20,401,13.0,10101101100100110010
RHC,0,20,402,13.0,10101101100100110010
RHC,0,20,403,13.0,10101101100100110010
RHC,0,20,404,13.0,10101101100100110010
RHC,0,20,405,13.0,10101101100100110010
RHC,0,20,406,13.0,10101101100100110010
RHC,0,20,407,13.0,10101101100100110010
RHC,0,20,408,13.0,10101101100100110010
RHC,0,20,409,13.0,10101101100100110010
RHC,0,20,410,13.0,10101101100100110010
RHC,0,20,411,13.0,10101101100100110010
RHC,0,20,412,13.0,10101101100100110010
RHC,0,20,413,13.0,10101101100100110010
RHC,0,20,414,13.0,10101101100100110010
RHC,0,20,415,13.0,10101101100100110010
RHC,0,20,416,13.0,10101101100100110010
RHC,0,20,417,13.0,10101101100100110010
RHC,0,20,418,13.0,10101101100100110010
RHC,0,20,419,13.0,10101101100100110010
RHC,0,20,420,13.0,10101101100100110010
RHC,0,20,421,13.0,10101101100100110010
RHC,0,20,422,13.0,10101101100100110010
RHC,0,20,423,13.0,10101101100100110010
RHC,0,20,424,13.0,10101101100100110010
RHC,0,20,425,13.0,10101101100100110010
RHC,0,20,426,13.0,10101101100100110010
RHC,0,20,427,13.0,10101101100100110010
RHC,0,20,428,13.0,10101101100100110010
RHC,0,20,429,13.0,10101101100100110010
RHC,0,20,430,13.0,10101101100100110010
RHC,0,20,431,13.0,10101101100100110010
RHC,0,20,432,13.0,10101101100100110010
RHC,0,20,433,13.0,10101101100100110010
RHC,0,20,434,13.0,10101101100100110010
RHC,0,20,435,13.0,10101101100100110010
RHC,0,20,436,13.0,10101101100100110010
RHC,0,20,437,13.0,10101101100100110010
RHC,0,20,438,13.0,10101101100100110010
RHC,0,20,439,13.0,10101101100100110010
RHC,0,20,440,13.0,10101101100100110010
RHC,0,20,441,13.0,10101101100100110010
RHC,0,20,442,13.0,10101101100100110010
RHC,0,20,443,13.0,10101101100100110010
RHC,0,20,444,13.0,10101101100100110010
RHC,0,20,445,13.0,10101101100100110010
RHC,0,20,446,13.0,10101101100100110010
RHC,0,20,447,13.0,10101101100100110010
RHC,0,20,448,13.0,10101101100100110010
RHC,0,20,449,13.0,10101101100100110010
RHC,0,20,450,13.0,10101101100100110010
RHC,0,20,451,13.0,10101101100100110010
RHC,0,20,452,13.0,10101101100100110010
RHC,0,20,453,13.0,10101101100100110010
RHC,0,20,454,13.0,10101101100100110010
RHC,0,20,455,13.0,10101101100100110010
RHC,0,20,456,13.0,10101101100100110010
RHC,0,20,457,13.0,10101101100100110010
RHC,0,20,458,13.0,10101101100100110010
RHC,0,20,459,13.0,10101101100100110010
RHC,0,20,460,13.0,10101101100100110010
RHC,0,20,461,13.0,10101101100100110010
RHC,0,20,462,13.0,10101101100100110010
RHC,0,20,463,13.0,10101101100100110010
RHC,0,20,464,13.0,10101101100100110010
RHC,0,20,465,13.0,10101101100100110010
RHC,0,20,466,13.0,10101101100100110010
RHC,0,20,467,13.0,10101101100100110010
RHC,0,20,468,13.0,10101101100100110010
RHC,0,20,469,13.0,10101101100100110010
RHC,0,20,470,13.0,10101101100100110010
RHC,0,20,471,13.0,10101101100100110010
RHC,0,20,472,13.0,10101101100100110010
RHC,0,20,473,13.0,10101101100100110010
RHC,0,20,474,13.0,10101101100100110010
RHC,0,20,475,13.0,10101101100100110010
RHC,0,20,476,13.0,10101101100100110010
RHC,0,20,477,13.0,10101101100100110010
RHC,0,20,478,13.0,10101101100100110010
RHC,0,20,479,13.0,10101101100100110010
RHC,0,20,480,13.0,10101101100100110010
RHC,0,20,481,13.0,10101101100100110010
RHC,0,20,482,13.0,10101101100100110010
RHC,0,20,483,13.0,10101101100100110010
RHC,0,20,484,13.0,10101101100100110010
RHC,0,20,485,13.0,10101101100100110010
RHC,0,20,486,13.0,10101101100100110010
RHC,0,20,487,13.0,10101101100100110010
RHC,0,20,488,13.0,10101101100100110010
