,BIC,adj_mutual_info,adj_rand,avg_inertia,completeness,homogeneity,k,lower_bound,model,silhouette,time,v_measure
0,,0.1306783864850045,0.19718010265650307,46.27149782827654,0.13079799971954012,0.1596680434313217,2.0,,kmeans,0.0793628923245269,0.3465346480079461,0.1437982937585768
1,,0.0855760051890522,0.04954540781784427,41.34340169560955,0.08583082801996707,0.2072000685848693,5.0,,kmeans,0.08258925080504442,0.3712491990008857,0.12138073942705042
2,,0.05094736666468362,0.004417839210437201,36.59070558780938,0.05134565616526414,0.1853821681196698,10.0,,kmeans,0.09993777653935017,0.5388247529917862,0.08041783083332757
3,,0.05260117214898192,0.03307003636627287,32.796045098078785,0.0530977625711221,0.2389756557130916,15.0,,kmeans,0.10604814219742609,0.6860239220113726,0.08688960948157458
4,,0.04051075321785137,0.01603649428511677,28.81115475904481,0.041112364465875066,0.21004265946782133,20.0,,kmeans,0.13262720747028245,0.7598381880088709,0.06876510160276501
5,,0.04073131624892562,0.015936068000371385,26.55721062064014,0.04143664797040497,0.2284799424761043,25.0,,kmeans,0.15479378016872444,0.8749115440004971,0.07015087830665913
6,,0.036555825384119785,0.012233173952754178,25.06987239215486,0.03734979550412168,0.22205953099165876,30.0,,kmeans,0.12863828021408324,0.9719541579979705,0.06394433218201609
7,,0.03497925034311037,0.006882390331453716,22.12696477853456,0.03594808971858794,0.23618648103828324,40.0,,kmeans,0.1642733756642001,1.1728697630023817,0.06239892849385361
8,,0.038599704346077804,0.006798432220017185,21.29466054044911,0.039755358280404364,0.2748867141761293,50.0,,kmeans,0.14864207139631302,1.4221999189903727,0.06946445351871887
9,,0.03649392461303511,0.00409261393295372,17.407878424428723,0.0385382849945897,0.3101238002364989,100.0,,kmeans,0.1250211167792012,3.605694569996558,0.0685571497640646
0,165551.81613701972,0.12754650588843444,0.19638870162423835,,0.12766687803935559,0.15542150440608607,2.0,-13.219325302391836,em,0.07543979619046667,0.254125011008,0.14018362799843295
1,-282484.71438290237,0.07890146229704195,0.015389605919484007,,0.07913946933427808,0.20594615278906395,5.0,31.431051995404403,em,0.04547350460724025,0.4599286500015296,0.11434087150218439
2,-621583.2337620045,0.04849049873120074,0.026939628329680713,,0.048859927438199016,0.19054133826869746,10.0,68.10469697912754,em,0.07624779681545048,0.8313610890036216,0.07777599616523416
3,-733866.9906091528,0.039880627670188906,0.015293520230775246,,0.04036903535783156,0.18708436352699068,15.0,83.77741726871416,em,0.11081427693882447,2.331133483996382,0.06640846277212933
4,-765884.4363171164,0.044336080881817,0.018589747959235965,,0.044946092791353864,0.22593361860495056,20.0,92.0162033352875,em,0.13575091988592236,0.973470508994069,0.07497669968828093
5,-934279.4105064997,0.039133550930096885,0.010621270607134685,,0.039817086873889664,0.22652087922722383,25.0,112.88583602928583,em,0.12239380978679079,1.3538841160043376,0.06772899604944856
6,-956167.0088082403,0.039456989040077786,0.010444094434408203,,0.04025249736984511,0.23821595503488474,30.0,120.18832129863475,em,0.12350953392298403,5.108019403996877,0.06886803169761123
7,-981722.6515025739,0.03878380552706796,0.009849546136478501,,0.039763456228658775,0.25783775491383887,40.0,133.10629609658108,em,0.13947771826573113,3.740471807002905,0.06890106557196073
8,-963220.7445065107,0.03634618412812712,0.008350058470764065,,0.03751177920264166,0.2578809972733442,50.0,141.94213684137088,em,0.1058819785780235,5.391764095998951,0.0654963546886946
9,-725735.8075476266,0.035546706674164694,0.0041172082582588984,,0.03758676174226368,0.30341724006257625,100.0,172.71407994321277,em,0.11631823473025094,9.168041897006333,0.06688761099791533
