BIC,adj_mutual_info,adj_rand,algorithm,avg_inertia,clusterer,completeness,homogeneity,k,lower_bound,n,silhouette,time,v_measure,with_labels_mean,with_labels_sd,without_labels_mean,without_labels_sd
40842.49382,0.129433936,0.204348219,svd,,em,0.129554753,0.156800361,2,-3.77301589,2,0.453035306,2.652057365,0.141881399,0.813703049,0.008245372,0.806666525,0.003549294
39691.69878,0.089868894,0.076862881,svd,,em,0.090079159,0.262066247,5,-3.65299868,2,0.394056467,2.536636575,0.134073634,0.806852533,0.002906,0.809814159,0.007473472
39552.73516,0.070582879,0.042609057,svd,,em,0.070925283,0.291386989,10,-3.615940707,2,0.36727967,2.669361655,0.114082279,0.806294611,0.005219172,0.815925478,0.008958623
39934.11783,0.064221511,0.009176997,svd,,em,0.064702753,0.296665618,15,-3.627568038,2,0.412278992,2.84455662,0.106235541,0.813147493,0.00747318,0.809071052,0.007422727
39900.21378,0.057914716,0.025060913,svd,,em,0.058486364,0.308614275,20,-3.60050042,2,0.308358811,2.748891381,0.098336668,0.813518378,0.007208544,0.812035045,0.007560067
40103.62998,0.053318527,0.014277625,svd,,em,0.053991829,0.307260212,25,-3.595376611,2,0.302809424,4.038618925,0.09184469,0.812593481,0.004984291,0.809628871,0.006630073
40289.41396,0.052165769,0.013815295,svd,,em,0.052940639,0.317175044,30,-3.588798317,2,0.29594486,2.345143098,0.090736223,0.809812822,0.006936454,0.812962823,0.007993566
40570.24894,0.04804465,0.01107351,svd,,em,0.049007688,0.319526561,40,-3.567293446,2,0.300486306,4.14291176,0.08498129,0.79370613,0.006483639,0.811298213,0.00534547
40841.46133,0.046357385,0.008243584,svd,,em,0.047502832,0.328383244,50,-3.544435417,2,0.271983099,3.494687642,0.082999265,0.810369612,0.006376922,0.80777815,0.002496093
42389.33126,0.039616308,0.004519682,svd,,em,0.04163489,0.337334957,100,-3.449088668,2,0.255639498,4.432706052,0.074121485,0.807220743,0.005104992,0.811294098,0.007428142
