component,explained_variance
1,4.418432562
2,2.843781943
3,2.43407068
4,2.234289984
5,1.989911314
6,1.791634742
7,1.56433369
8,1.444287524
9,1.424223298
10,1.342367011
11,1.290727996
12,1.269595506
13,1.205961404
14,1.165708502
15,1.14848672
16,1.133455156
17,1.115423731
18,1.103064254
19,1.090879959
20,1.081423469
21,1.061470382
22,1.054167938
23,1.031925273
24,1.007976586
25,0.975523339
26,0.966224561
27,0.949737539
28,0.935147
29,0.924130066
30,0.882199381
31,0.852494719
32,0.834483997
33,0.758767609
34,0.746361203
35,0.669983709
36,0.646725131
37,0.598466064
38,0.556649919
39,0.490381346
40,0.432957369
41,0.243540531
42,0.094897193
43,0.078735378
44,0.053921353
45,0.049554761
46,0.013222413
47,0.006775995
48,0.000780771
49,2.10E-32
50,5.43E-33
