n,iter,mean
2.0,0.0,27.74799594259046
2.0,1.0,34.03340875459738
2.0,2.0,21.558273331464846
2.0,3.0,19.115455201082327
2.0,4.0,21.26232220833568
2.0,5.0,14.287063112201164
2.0,6.0,32.55785843738083
2.0,7.0,26.082604083816918
2.0,8.0,14.12245506232647
2.0,9.0,29.707981102162133
2.0,10.0,25.170347983308293
2.0,11.0,23.29457662671428
2.0,12.0,26.669302107947242
2.0,13.0,28.210372877050258
2.0,14.0,32.80342675126511
2.0,15.0,25.171051498205287
2.0,16.0,23.347389282039423
2.0,17.0,21.5681793289369
2.0,18.0,48.80805797697308
2.0,19.0,19.72695327983368
5.0,0.0,10.438608376515848
5.0,1.0,9.166555557431774
5.0,2.0,10.063585496977343
5.0,3.0,7.994351308175273
5.0,4.0,10.839724221994008
5.0,5.0,9.383566721067124
5.0,6.0,7.942987122107756
5.0,7.0,6.867252504553371
5.0,8.0,13.523740896260742
5.0,9.0,10.709081446059987
5.0,10.0,14.508331459003312
5.0,11.0,11.086594779311724
5.0,12.0,10.388032378902682
5.0,13.0,11.136109443932416
5.0,14.0,6.77221485117427
5.0,15.0,10.40715620237736
5.0,16.0,12.882193652031145
5.0,17.0,11.385354155843366
5.0,18.0,9.700880081443291
5.0,19.0,10.155598264452069
10.0,0.0,5.032968795399937
10.0,1.0,5.85451633505949
10.0,2.0,5.274230812041188
10.0,3.0,5.552598850682698
10.0,4.0,4.434096270031256
10.0,5.0,4.657645714436627
10.0,6.0,3.940831907286776
10.0,7.0,4.926179004812271
10.0,8.0,5.763853440559962
10.0,9.0,3.854020498182053
10.0,10.0,3.8596446241922866
10.0,11.0,4.637644228664148
10.0,12.0,5.755656696630081
10.0,13.0,3.502815157872145
10.0,14.0,4.791934555279551
10.0,15.0,4.580465484687563
10.0,16.0,4.884165895398126
10.0,17.0,5.331837372990187
10.0,18.0,5.592172654694306
10.0,19.0,4.996857162609426
15.0,0.0,3.5975293781173248
