,X1,X2,kmeans_cluster,em_cluster,y
0,-161341.8,-1102.3516,1,0,1
1,-71.609344,13959.919,1,0,1
2,-67056.164,-1068.6553,1,0,1
3,35808.957,-1070.3115,1,0,1
4,-25041.846,-1121.3628,1,0,0
5,-13438.384,-1083.9484,0,0,0
6,-91292.96,-1057.6918,1,0,0
7,-160711.52,-1085.0315,0,0,0
8,-100118.445,-1088.9305,0,0,0
9,-112985.91,-1080.3269,0,0,0
10,119665.56,6253.1104,1,0,1
11,-135841.42,-1120.6671,0,0,0
12,87264.28,-1052.986,1,0,0
13,54677.41,-1054.7319,0,0,0
14,-158093.98,-1144.3643,1,0,1
15,-74053.37,1903.9604,0,0,0
16,146518.33,-1040.709,0,0,0
17,106356.92,6274.823,1,0,1
18,-31084.875,-1028.8969,1,0,0
19,57420.816,-1015.67633,0,0,0
20,-35911.98,-1103.6719,0,0,0
21,-112027.25,-1082.371,0,0,0
22,-45335.258,-1065.3965,1,0,0
23,-15443.019,-1131.394,1,0,1
24,-15998.14,-1031.8912,0,0,0
25,140696.02,-1039.0385,0,0,0
26,-95889.9,-1112.2472,1,0,0
27,1629.4475,-1036.1133,1,0,0
28,6169.8643,-1072.8857,0,0,0
29,26450.451,-1068.6884,1,0,0
30,-84318.664,-1094.5355,1,0,1
31,-92972.56,-1110.978,0,0,0
32,-11659.386,2036.4565,1,0,1
33,-3917.4902,-1052.8241,1,0,0
34,54661.71,-1044.7651,0,0,0
35,-82953.42,-1064.3247,1,0,1
36,-10712.534,-1054.4819,0,0,0
37,-73208.62,-1138.3726,0,0,0
38,176121.16,-1040.8643,1,0,1
39,-65320.285,-1123.6582,1,0,0
40,17591.908,-1051.272,1,0,0
41,328898.12,-1012.0504,1,0,0
42,-114322.95,-1052.2875,1,0,0
43,-30299.17,-1038.6411,0,0,0
44,5541.2344,-1052.4706,0,1,0
45,14398.451,-1070.135,1,0,0
46,-10667.434,-1076.338,0,0,0
47,-48602.844,-1081.3184,1,0,1
48,109699.31,-1028.24,1,0,0
49,-86802.49,-1049.5557,0,0,0
50,-77857.89,-1106.4379,1,0,0
51,-89868.55,98920.76,0,1,1
52,113091.51,-1063.4563,0,1,0
53,-35467.613,1038.762,1,0,0
54,-116230.875,-1080.0504,0,0,0
55,-106822.4,-1088.665,0,0,1
56,37753.773,-1074.6831,0,0,0
57,-12429.734,-1055.9731,1,0,1
58,6437.984,6237.6436,1,0,1
59,-4245.3022,-1097.0895,1,0,1
60,5785.3716,6237.0728,1,0,1
61,-74637.1,-1041.8495,0,0,0
62,-16004.602,-1071.4136,1,0,1
63,44517.227,-1046.7178,0,0,0
64,22299.385,-1052.6489,0,0,0
65,10411.282,-1094.6178,1,0,0
66,-112103.11,-1078.2557,1,0,1
67,-40409.105,-1054.9751,1,0,1
68,858.88635,1342.8805,1,0,0
69,-23790.72,-1091.4836,1,0,0
70,18950.443,-1093.5881,0,0,1
71,-43943.355,-1063.3287,1,0,1
72,-52217.29,-1059.3416,0,0,1
73,-160818.56,-1106.5778,0,0,0
74,-12583.16,-1084.2795,0,0,0
75,29050.555,-1027.5309,1,0,0
76,125848.76,-1022.0894,1,0,0
77,-141974.98,-1093.1484,1,0,0
78,-142257.16,-1089.0686,1,0,1
79,-75903.95,-1104.6501,1,0,0
80,79558.36,-1062.5288,0,0,0
81,31026.098,-1116.111,1,1,1
82,233112.44,-1086.9,1,0,1
83,-25100.553,-1072.7736,0,0,0
84,9734.033,13961.587,1,0,1
85,-20398.15,13955.19,1,0,1
86,24507.82,-1061.6697,1,0,0
87,-58945.336,-1068.587,0,0,0
88,-73113.76,-1051.1235,0,0,1
89,-72525.72,-1094.7202,0,0,0
90,129205.33,-1055.6788,0,0,1
91,117263.63,-1045.1549,0,0,0
92,1662.4296,-1015.64136,1,0,1
93,-96048.55,-1079.3995,1,0,0
94,-148213.44,-1109.8789,1,0,1
95,-75920.125,-1047.3522,0,1,0
96,-16422.217,-1030.4523,0,0,0
97,165517.02,-1037.84,1,0,0
98,-104304.64,-1059.6528,0,0,0
99,191517.95,-1033.6477,1,0,0
100,-16863.498,4107.627,1,0,1
101,34548.29,-1021.90686,0,0,0
102,-29840.555,-1073.8369,0,0,0
103,29984.857,-1029.0824,0,0,0
104,130757.586,-1051.4208,1,0,1
105,-24863.643,-1046.0873,0,1,1
106,-92275.14,-1082.7974,0,0,1
107,44652.113,-1043.332,0,0,0
108,-37812.402,-1040.65,1,0,0
109,-46281.41,8490.381,0,0,1
110,-43653.41,-1069.7504,1,1,0
111,-153624.28,-1084.796,0,0,0
112,-149798.8,-1093.1587,1,0,1
113,-66716.23,-1068.8066,1,0,0
114,51515.355,-1020.6896,0,0,0
115,-153443.45,-1076.9001,1,0,1
116,-27987.842,-1056.2319,0,0,1
117,2609.503,-1031.7201,0,0,0
118,-42478.305,-16.92194,0,0,0
119,-98824.36,-1077.1228,0,0,0
120,56869.246,-1085.4467,0,0,0
121,12153.685,-1069.8405,0,0,0
122,37706.395,-1075.439,1,0,0
123,-8062.7456,-1050.0983,1,0,1
124,-85122.3,-1076.0928,1,0,0
125,14516.599,-1027.0863,1,0,1
126,-52415.43,-1074.0804,1,0,1
127,109633.71,-1045.9503,0,0,0
128,-40347.668,-1090.5906,0,0,0
129,-18939.771,-1124.342,1,0,1
130,-80875.38,-1072.8689,1,0,0
131,-76448.664,-1054.9368,0,0,0
132,-38261.098,-1051.548,1,0,0
133,-168942.92,-1082.5853,1,0,0
134,152909.05,-1057.9926,1,0,0
135,-142707.84,-1070.5549,0,0,1
136,-23615.219,-1048.0969,0,0,0
137,-80276.72,4098.3647,1,0,1
138,69229.664,-1075.6808,0,0,0
139,-10994.487,9453.603,0,0,1
140,68659.77,1125.0967,0,0,0
141,-67127.33,-1090.3726,0,0,0
142,-73758.45,-1014.4066,0,0,0
143,-48223.04,-1071.469,1,0,0
144,-94491.81,-1118.824,0,0,0
145,-160089.7,-1087.3036,1,0,0
146,-109940.88,-1059.938,0,0,0
147,-115933.25,-1076.6593,0,0,0
148,107775.28,-1104.666,1,1,1
